item_id,caption,current_type,decision,source_file,analytical_question,evidence_used,concrete_conclusion,body_reference_found,revision_note
Fig5,Classification Model Comparison at the Default Threshold,figure,replace,figures/final_report/fig5_classification_model_comparison.png,Which classifier works best before threshold tuning?,classification_tuned_metrics.csv,"Random Forest is stronger on default Recall/F1, while Gradient Boosting has a slight PR-AUC/ROC-AUC edge.",True,Converted to continuous analysis paragraph and explicit body reference.
Fig6,Threshold Tuning for Recall-Oriented Screening,figure,revise,figures/final_report/fig6_threshold_tuning.png,Why was threshold=0.14 selected?,classification_threshold_tuning.csv,The selected threshold preserves recall for screening rather than maximizing overall correctness.,True,Converted to continuous analysis paragraph and explicit body reference.
Fig7,Confusion Matrix of the Final High Risk Classifier,figure,revise,figures/final_report/fig7_confusion_matrix.png,What errors does the final classifier make?,classification_final_confusion_matrix.csv,"The model finds 113 High Risk samples and misses 63, with 133 false alarms.",True,Converted to continuous analysis paragraph and explicit body reference.
Fig8,Precision-Recall Curve under Class Imbalance,figure,revise,figures/final_report/fig8_precision_recall_curve.png,Is PR-AUC above the positive-class baseline?,test split and classification_tuned_metrics.csv,PR-AUC=0.5084 is above the 20.11% baseline but not high enough for precise individual decisions.,True,Converted to continuous analysis paragraph and explicit body reference.
Fig9,Digital Dependence Observed vs Predicted Scores,figure,revise,figures/final_report/fig9_digital_dependence_observed_predicted.png,How well is digital dependence predicted?,regression_digital_dependence_predictions.csv,"Predictions align closely with observed scores, consistent with R2=0.9839.",True,Converted to continuous analysis paragraph and explicit body reference.
Fig10,Productivity Weak Prediction Observed vs Predicted Scores,figure,revise,figures/final_report/fig10_productivity_observed_predicted.png,Does the feature set predict productivity?,regression_productivity_predictions.csv,Predictions concentrate near the mean and R2=-0.0041 indicates weak prediction.,True,Converted to continuous analysis paragraph and explicit body reference.
Fig11,Regression R2 Comparison by Target,figure,replace,figures/final_report/fig11_regression_r2_comparison.png,Do both regression targets behave the same?,regression metrics CSV files,"digital_dependence_score is strongly predicted, but productivity_score is not.",True,Converted to continuous analysis paragraph and explicit body reference.
Fig12,K Selection by Inertia and Silhouette,figure,replace,figures/final_report/fig12_clustering_k_selection_comparison.png,Which k and clustering method are reasonable?,clustering_model_comparison.csv,"KMeans k=3 is readable and has the best KMeans silhouette, but 0.1860 is low.",True,Converted to continuous analysis paragraph and explicit body reference.
Fig13,Three Digital Lifestyle Cluster Profiles,figure,revise,figures/final_report/fig13_cluster_profile_heatmap.png,What does each cluster represent?,clustering_lifestyle_profiles_compact.csv,"The profiles differ in social media time, device hours, sleep quality, High Risk ratio, and digital dependence.",True,Converted to continuous analysis paragraph and explicit body reference.
Fig14,PCA Explained Variance for Dimensionality Reduction,figure,revise,figures/final_report/fig14_pca_explained_variance.png,How much structure does PCA preserve?,pca_explained_variance.csv,"PC1+PC2 explain 42.41%, so the 2D view is only partial.",True,Converted to continuous analysis paragraph and explicit body reference.
